CNF with 3 variables and 8 clauses:
(4, -3)
(2, -9)
(-14, 10)
(-10, -13)
(3, -16)
(-2, 3)
(-7, 3)

CNF with 8 variables and 24 clauses:
(6, 15)
(14, 7)
(14, 10)
(14, 16)
(-5, 6)
(6, -13)
(1, 3)
(-2, 4)
(3, -12)
(4, 2)
(7, -15)
(-9, 1)
(-16, -5)
(15, 10)
(6, 16)
(-5, -11)
(-13, 12)
(12, 8)
(-6, 8)
(5, 14)
(11, 3)
(2, -6)
(10, 16)
(16, 11)

CNF with 13 variables and 18 clauses:
(12, 17)
(-4, 1)
(10, -21)
(-6, 8)
(7, -19)
(-11, -18)
(22, -6)
(-25, -26)
(13, 3)
(21, -20)
(24, 19)
(-22, -24)
(8, -7)
(-17, 2)
(18, -7)
(18, 15)
(-13, 18)
(17, 4)

CNF with 13 variables and 21 clauses:
(17, -12)
(-6, -11)
(-20, 2)
(-13, -23)
(-1, -17)
(-17, 7)
(-11, -5)
(-10, 24)
(3, 15)
(13, -5)
(9, 16)
(20, -15)
(-22, 19)
(-1, -3)
(-18, 10)
(-3, 1)
(19, 7)
(-15, -16)
(-23, 16)
(24, 15)
(-23, 25)

CNF with 13 variables and 20 clauses:
(12, 1)
(-14, -12)
(10, -12)
(10, -3)
(12, 22)
(-4, -14)
(1, 6)
(-13, -8)
(-11, -14)
(-26, 25)
(-9, 10)
(-1, -6)
(-4, 3)
(-11, -6)
(22, 9)
(4, 13)
(17, 19)
(10, 7)
(17, -24)
(-21, -8)

CNF with 13 variables and 32 clauses:
(23, 1)
(3, -1)
(1, -15)
(23, 25)
(8, 15)
(19, 15)
(-18, -4)
(20, -11)
(20, -5)
(-2, -1)
(-23, -10)
(25, -15)
(-22, 7)
(10, 11)
(-1, -9)
(-18, 19)
(3, -7)
(-1, 9)
(-5, -14)
(21, 8)
(-2, 18)
(-16, 22)
(11, -12)
(4, 16)
(1, -8)
(19, 7)
(1, -5)
(-23, 10)
(18, 2)
(-18, 9)
(25, 26)
(-18, 21)

CNF with 13 variables and 38 clauses:
(-12, 10)
(12, 7)
(10, -15)
(20, 17)
(-6, 4)
(14, 22)
(-8, 4)
(10, 21)
(4, -22)
(-24, 4)
(12, -3)
(-4, 10)
(-8, -24)
(-14, -10)
(-6, -3)
(24, -26)
(-1, 22)
(-11, 19)
(-23, -4)
(-15, -12)
(-24, -18)
(-10, -25)
(21, -16)
(11, 16)
(-7, 1)
(-9, 19)
(-14, -17)
(-12, 8)
(-4, 21)
(-11, 3)
(8, -5)
(26, -24)
(4, 16)
(-3, 4)
(-8, -4)
(16, -7)
(-2, -10)
(13, 9)

CNF with 13 variables and 25 clauses:
(21, 19)
(-6, -2)
(-16, -10)
(-25, 15)
(-13, -8)
(-21, -12)
(-2, -11)
(-6, -18)
(-24, 10)
(-24, 16)
(-20, -23)
(-22, -1)
(-17, -12)
(-5, 8)
(-15, -21)
(22, -15)
(-24, 9)
(17, -14)
(15, -18)
(-7, -12)
(11, 3)
(-3, 16)
(-16, -6)
(-8, 11)
(-16, 3)

CNF with 13 variables and 16 clauses:
(19, -15)
(-13, -21)
(19, -1)
(-10, -22)
(1, 15)
(12, -9)
(-13, -1)
(-17, 19)
(22, -21)
(-20, -15)
(-7, 14)
(-4, -16)
(-18, -6)
(-7, -20)
(-2, -7)
(-3, -20)

CNF with 13 variables and 18 clauses:
(12, 11)
(9, 7)
(-12, 4)
(-12, -16)
(-7, -1)
(8, 17)
(-16, -11)
(-15, -6)
(18, 16)
(9, -18)
(-12, 25)
(-17, -20)
(-26, 21)
(-11, -6)
(20, 9)
(20, -23)
(-24, 2)
(-4, -5)

CNF with 13 variables and 15 clauses:
(-11, 22)
(-4, -12)
(9, -10)
(18, 7)
(-14, 5)
(7, 1)
(25, -17)
(26, 13)
(4, 25)
(24, -7)
(-2, -26)
(-5, -24)
(21, 8)
(-17, -8)
(-26, -21)

CNF with 13 variables and 15 clauses:
(26, 21)
(-17, 20)
(-22, 26)
(18, 23)
(8, -2)
(-7, 17)
(22, -15)
(22, 20)
(-7, -9)
(-2, -25)
(-3, 19)
(-14, -13)
(22, -13)
(6, -16)
(17, 24)

CNF with 18 variables and 36 clauses:
(19, -12)
(-6, -5)
(-11, 8)
(-9, -4)
(-10, -21)
(-34, -9)
(-14, 24)
(-18, 5)
(-21, -18)
(-31, 17)
(-18, 14)
(7, -36)
(-33, -14)
(31, 19)
(36, 9)
(-15, 31)
(23, 15)
(-8, -9)
(-1, 31)
(33, -2)
(34, 30)
(-20, -8)
(1, -4)
(23, -22)
(26, 4)
(17, -32)
(-33, -36)
(-2, 12)
(-17, -34)
(20, 15)
(-16, -18)
(31, -13)
(-25, 22)
(-2, -13)
(-22, 18)
(-26, 8)

CNF with 18 variables and 50 clauses:
(-29, -6)
(26, -34)
(-4, 23)
(18, 20)
(19, -9)
(16, 32)
(10, 28)
(-19, 28)
(19, 18)
(5, 22)
(30, 24)
(-6, -30)
(26, 11)
(-25, -34)
(-18, 8)
(-26, 7)
(16, -30)
(-31, -17)
(15, -26)
(-7, 32)
(-11, 16)
(-11, 19)
(-10, 18)
(-1, -24)
(-10, 33)
(12, 33)
(13, -2)
(14, 27)
(12, -25)
(-30, 33)
(-25, -35)
(-1, -3)
(-32, 17)
(10, 29)
(1, -20)
(6, -36)
(28, 4)
(-21, 11)
(-5, 7)
(-3, 4)
(13, -6)
(15, -3)
(-25, 19)
(-11, -25)
(-33, 15)
(11, 15)
(19, 22)
(-12, -1)
(-35, 2)
(-7, 18)

CNF with 18 variables and 18 clauses:
(-22, -15)
(24, -2)
(-26, 1)
(-31, 1)
(-28, 24)
(4, 22)
(-5, 19)
(33, 13)
(13, 29)
(-16, -28)
(-18, -19)
(-8, -5)
(28, -7)
(-23, -20)
(5, -26)
(17, 24)
(-25, 5)
(-14, 34)

CNF with 18 variables and 43 clauses:
(30, -21)
(-29, -3)
(25, -17)
(20, 17)
(-14, -6)
(31, -29)
(-9, 2)
(-1, -23)
(34, -24)
(-32, 9)
(23, -15)
(28, -31)
(28, 27)
(-27, -13)
(9, -14)
(30, -7)
(-24, 22)
(-28, 3)
(-3, -4)
(-35, -33)
(-11, 22)
(12, 24)
(-21, -28)
(-23, 8)
(33, 10)
(-17, 15)
(6, 13)
(2, 28)
(21, 8)
(-18, 28)
(33, 34)
(24, -15)
(-18, -21)
(31, 30)
(15, -21)
(-33, -6)
(2, -9)
(-13, -22)
(28, 13)
(-15, -10)
(-12, -11)
(30, 22)
(-6, -20)

CNF with 18 variables and 19 clauses:
(24, 30)
(-22, 36)
(-1, -23)
(-24, -17)
(33, 35)
(-11, 1)
(26, -29)
(-32, 36)
(20, -27)
(-2, 31)
(3, -31)
(-3, 23)
(14, -22)
(-24, -9)
(-12, 20)
(-28, 8)
(-2, -19)
(-6, 29)
(-14, -30)

CNF with 18 variables and 43 clauses:
(23, 7)
(14, -2)
(5, -2)
(-11, 17)
(-6, 7)
(6, -28)
(12, -36)
(-12, 25)
(-4, -23)
(3, 25)
(25, -5)
(-33, 5)
(-31, 14)
(18, 13)
(30, -7)
(-15, 25)
(6, 32)
(23, 15)
(20, -27)
(29, -21)
(-17, -15)
(2, 1)
(17, 26)
(-11, -21)
(4, -32)
(-24, -3)
(32, -35)
(16, 15)
(5, -13)
(34, -4)
(-9, 25)
(-35, 18)
(3, 14)
(-11, 24)
(24, -9)
(26, -12)
(-19, 20)
(28, 13)
(-5, -36)
(10, 16)
(-20, 15)
(30, -24)
(-10, 4)

CNF with 18 variables and 40 clauses:
(-31, 27)
(-24, 14)
(-22, -19)
(18, 26)
(4, 6)
(23, -36)
(-35, -26)
(21, -30)
(-2, 32)
(23, 34)
(7, -1)
(14, -21)
(19, 27)
(-12, 6)
(-35, 16)
(8, -16)
(25, -21)
(-10, 15)
(-24, 28)
(-7, -17)
(8, 14)
(-19, 36)
(21, 7)
(27, 33)
(1, 17)
(-22, 25)
(-9, 28)
(32, 29)
(-34, 8)
(-2, 6)
(10, -23)
(6, 22)
(-7, -24)
(23, 29)
(-7, -9)
(-4, -10)
(18, -10)
(-14, 13)
(-16, -12)
(12, -1)

CNF with 18 variables and 52 clauses:
(10, -30)
(33, -25)
(28, -3)
(-15, 20)
(11, -10)
(-29, 6)
(-16, 30)
(-8, -14)
(-9, -16)
(14, 13)
(12, 31)
(-34, -24)
(36, 31)
(5, -27)
(-26, -8)
(-18, 5)
(-14, 30)
(16, 1)
(-24, -1)
(-30, -18)
(-30, -15)
(24, 20)
(-20, -32)
(26, -29)
(9, -2)
(3, 6)
(26, -23)
(20, -27)
(-26, -21)
(-18, -11)
(-35, -18)
(10, 8)
(-13, -12)
(25, 9)
(-16, 7)
(35, -36)
(-17, 21)
(-32, -29)
(-5, -11)
(-27, -12)
(6, 28)
(9, -6)
(23, 17)
(16, -19)
(-28, 11)
(13, -18)
(-8, -7)
(-5, -27)
(-30, 20)
(-31, 21)
(-10, -5)
(-9, 24)

CNF with 18 variables and 22 clauses:
(35, -13)
(-33, 2)
(-11, -35)
(3, -24)
(5, -12)
(27, -12)
(7, 13)
(13, 29)
(36, 9)
(20, 25)
(2, -5)
(-30, -16)
(13, 22)
(29, 18)
(35, -18)
(-11, 21)
(3, 23)
(-18, -3)
(35, 6)
(-25, 13)
(-28, -23)
(-13, 2)

CNF with 18 variables and 30 clauses:
(33, -28)
(24, -22)
(8, 9)
(-19, -27)
(32, 21)
(-9, 11)
(-25, -13)
(-7, -26)
(-13, 28)
(-26, 34)
(-22, -2)
(11, 4)
(10, 11)
(-31, 10)
(-35, -9)
(2, 16)
(5, 36)
(10, 26)
(20, 6)
(10, -26)
(36, -7)
(-21, 5)
(21, 17)
(19, -2)
(-26, 30)
(-27, 4)
(10, -1)
(-12, 35)
(-22, 18)
(-14, 25)

CNF with 23 variables and 68 clauses:
(34, -1)
(-17, 20)
(33, 42)
(-35, -41)
(2, -25)
(20, -38)
(-17, 41)
(-41, -42)
(36, 19)
(18, 41)
(-26, -11)
(-13, -20)
(-40, -4)
(23, 34)
(-14, 18)
(42, 20)
(3, 40)
(8, -37)
(-20, 11)
(1, 18)
(-46, 35)
(-7, 23)
(29, -45)
(-17, 28)
(15, 20)
(-26, -39)
(-26, -33)
(8, -4)
(14, 18)
(39, -20)
(20, -30)
(15, -8)
(-34, -25)
(-36, 14)
(38, -3)
(-36, -38)
(3, -25)
(20, -9)
(-45, 20)
(-38, 35)
(32, 26)
(37, 44)
(-26, 6)
(-14, -17)
(-18, -36)
(28, -14)
(44, 34)
(-4, 21)
(-13, 18)
(6, 19)
(-23, 41)
(-17, 33)
(30, -11)
(-34, -35)
(-13, -37)
(-4, -28)
(-1, 30)
(-31, 46)
(8, 7)
(-44, 27)
(18, -7)
(3, -26)
(27, 32)
(-35, -10)
(-8, 11)
(28, 34)
(-45, -33)
(-30, -11)

CNF with 23 variables and 31 clauses:
(19, -21)
(-19, -2)
(8, -18)
(20, 8)
(-17, 32)
(37, 12)
(28, 9)
(40, 41)
(-16, -7)
(11, -38)
(36, -21)
(-8, -39)
(-11, 16)
(-24, 22)
(31, 37)
(-19, -37)
(-10, -22)
(34, -19)
(-21, 42)
(-8, 21)
(-28, 36)
(-36, -11)
(20, 21)
(17, 1)
(-36, 4)
(39, 46)
(-37, -16)
(17, 19)
(23, -32)
(9, -37)
(32, -33)

CNF with 23 variables and 51 clauses:
(-41, -8)
(-23, -30)
(25, 35)
(-17, 29)
(-17, -32)
(44, 39)
(37, 9)
(3, 7)
(-29, -46)
(37, 18)
(-41, 28)
(-36, -43)
(-13, -20)
(-39, 28)
(35, 14)
(-43, -15)
(-20, 11)
(-39, -27)
(11, 26)
(-8, 16)
(-21, -6)
(-40, 20)
(-32, 27)
(-22, -23)
(42, -22)
(-19, -34)
(-41, -31)
(-5, -38)
(18, -9)
(13, 7)
(22, 46)
(-10, 45)
(-3, -35)
(29, -6)
(27, -19)
(32, -35)
(-31, -30)
(-7, 28)
(-8, -25)
(-24, -40)
(42, -3)
(23, -44)
(41, 4)
(-18, -12)
(21, -14)
(19, -36)
(18, 2)
(11, -37)
(5, -17)
(-10, -8)
(-16, 12)

CNF with 23 variables and 61 clauses:
(-35, 14)
(-25, 46)
(-15, 26)
(-23, -18)
(38, -32)
(10, -12)
(7, -29)
(40, 32)
(38, -23)
(4, -43)
(-26, -20)
(37, 30)
(24, 2)
(3, -27)
(17, 21)
(-22, -44)
(-3, 24)
(-21, -12)
(-6, 37)
(14, -18)
(29, 1)
(-43, -6)
(-27, 42)
(35, 32)
(-7, -38)
(-6, 46)
(10, 36)
(6, -35)
(29, -33)
(-25, -4)
(-4, 40)
(25, -3)
(-13, -30)
(6, -23)
(-40, -11)
(-4, -21)
(46, -1)
(-19, 33)
(-43, -16)
(42, 22)
(2, 16)
(23, 39)
(40, 9)
(-18, -36)
(18, 15)
(-26, 21)
(-26, -37)
(-34, -38)
(-34, 20)
(-26, -34)
(-45, -5)
(-15, -19)
(46, -43)
(16, -7)
(-1, -19)
(5, -38)
(14, -32)
(39, -9)
(-5, -24)
(17, 37)
(-26, 5)

CNF with 23 variables and 61 clauses:
(-9, 33)
(5, -1)
(27, -2)
(-9, 45)
(15, -25)
(29, -26)
(-5, 12)
(-15, -17)
(-22, 5)
(12, 37)
(3, -33)
(-25, 15)
(-2, 41)
(-37, -11)
(39, -10)
(-17, 1)
(-42, 14)
(44, 26)
(22, 1)
(25, 28)
(-13, 7)
(-28, -12)
(-20, 29)
(2, 29)
(3, -9)
(-6, -18)
(8, -13)
(-40, 38)
(-7, 38)
(3, -46)
(9, 1)
(-9, -1)
(40, 43)
(45, 33)
(34, -22)
(40, 46)
(22, -21)
(-11, -18)
(2, 19)
(-9, 19)
(-42, 16)
(-42, -33)
(-22, -24)
(31, 9)
(34, 2)
(-4, 12)
(2, -12)
(30, -1)
(-43, -41)
(30, 1)
(32, -1)
(28, 13)
(5, 17)
(-39, -44)
(22, -28)
(36, -29)
(-17, -4)
(20, -13)
(32, 13)
(30, -24)
(-37, 8)

CNF with 23 variables and 46 clauses:
(41, -15)
(-30, -1)
(44, -25)
(-35, -41)
(18, 23)
(20, 26)
(-4, -17)
(15, -10)
(4, -37)
(-12, -21)
(-22, 14)
(-21, 40)
(22, -17)
(-39, 40)
(-31, -38)
(14, -9)
(-23, -22)
(22, 4)
(-45, -25)
(12, 3)
(-46, -2)
(44, -8)
(33, -11)
(-42, 44)
(-41, -40)
(27, 33)
(6, 4)
(-6, 39)
(35, 28)
(20, -46)
(-27, -1)
(21, -38)
(-32, 41)
(33, 46)
(25, -13)
(-36, 4)
(-31, -6)
(26, -9)
(32, 7)
(-45, 10)
(-5, 31)
(-7, 9)
(10, 25)
(-6, -20)
(-9, 15)
(-12, 1)

CNF with 23 variables and 39 clauses:
(39, 12)
(25, -26)
(-18, 36)
(1, 43)
(-11, -32)
(-39, -36)
(17, 18)
(-31, 8)
(-12, -9)
(6, -4)
(1, 18)
(45, 46)
(-15, -42)
(-18, -29)
(-17, -30)
(-24, 28)
(12, -46)
(29, 31)
(32, -7)
(43, 8)
(44, 7)
(-5, -38)
(42, 28)
(-30, 39)
(14, 39)
(46, -39)
(-3, 41)
(8, -14)
(-26, 27)
(12, -41)
(-36, 1)
(-12, 32)
(-10, -26)
(-9, 3)
(-43, -17)
(39, -9)
(-31, 12)
(-28, 32)
(-16, 12)

CNF with 23 variables and 31 clauses:
(12, 4)
(22, 2)
(-20, 42)
(-35, 26)
(-21, -36)
(-37, -29)
(6, -13)
(-38, -40)
(-25, -43)
(29, -2)
(-20, -17)
(-43, 18)
(-41, -40)
(16, -12)
(9, -45)
(-43, 30)
(12, 42)
(-27, 41)
(30, 44)
(46, -27)
(-1, 6)
(-40, -39)
(-30, 14)
(22, 30)
(-15, 45)
(-2, 42)
(-6, 20)
(34, -23)
(-44, 39)
(43, 25)
(26, -43)

CNF with 23 variables and 52 clauses:
(-36, -18)
(6, 15)
(20, 14)
(-30, 7)
(-16, -28)
(43, -9)
(21, 25)
(-28, -45)
(-44, -29)
(-35, 38)
(40, -8)
(20, -17)
(-46, 14)
(-6, 28)
(44, 14)
(4, 36)
(-24, -1)
(19, -28)
(-32, -34)
(38, 19)
(24, -29)
(6, 17)
(-17, -21)
(-44, -36)
(29, 37)
(-18, -8)
(23, 33)
(38, -3)
(-28, 33)
(-37, 3)
(7, 3)
(-19, -16)
(-22, 25)
(-12, 14)
(22, 3)
(9, 46)
(11, 37)
(39, 19)
(36, 5)
(24, -15)
(-16, -24)
(-37, -25)
(1, -11)
(-12, -14)
(-24, -10)
(17, -39)
(-14, -42)
(10, -39)
(-46, -28)
(-19, -14)
(-25, -27)
(38, 17)

CNF with 23 variables and 28 clauses:
(-20, -22)
(44, -13)
(12, -27)
(10, 12)
(-10, 37)
(-44, -20)
(-4, 1)
(36, -12)
(-23, 27)
(28, -16)
(-38, -13)
(-8, -24)
(-42, 32)
(18, -33)
(41, 2)
(5, 12)
(30, 5)
(-23, 2)
(-1, -24)
(-20, -33)
(-37, 27)
(-16, 31)
(-6, 14)
(-2, -22)
(1, -2)
(9, 18)
(31, 2)
(-18, 21)

CNF with 28 variables and 56 clauses:
(20, 14)
(-52, 7)
(-40, 33)
(39, 24)
(-26, 29)
(-38, -52)
(28, -46)
(-42, -7)
(-39, 16)
(-29, -43)
(-29, -34)
(-49, 48)
(-2, -14)
(-9, -50)
(-37, -8)
(46, -56)
(5, 31)
(-34, 55)
(-7, 8)
(-49, -50)
(36, -18)
(-30, -15)
(49, 13)
(-21, -55)
(-22, -23)
(-2, 16)
(-36, -7)
(9, -11)
(-15, -33)
(33, 50)
(29, 34)
(27, -49)
(-56, 5)
(7, -18)
(15, 53)
(42, 25)
(16, 12)
(-15, -49)
(4, -8)
(38, 17)
(50, -5)
(-54, 14)
(-9, 37)
(-10, -38)
(28, -48)
(55, 27)
(48, 43)
(9, -49)
(28, 19)
(48, -3)
(-56, 10)
(-9, 3)
(-9, -49)
(21, -5)
(28, 43)
(-44, 2)

CNF with 28 variables and 49 clauses:
(-9, -28)
(-20, -25)
(-18, 27)
(-40, -22)
(54, 25)
(13, 45)
(5, 13)
(2, -13)
(28, 12)
(-4, -17)
(-54, 31)
(53, -26)
(-1, 38)
(4, -37)
(-5, 24)
(53, 47)
(-32, 12)
(-40, 11)
(-47, 39)
(6, -47)
(-33, -23)
(-35, -51)
(2, -26)
(32, 42)
(5, 52)
(-45, -30)
(-24, 28)
(9, 1)
(38, 49)
(31, 37)
(-54, -34)
(-16, 47)
(22, -18)
(-44, -15)
(-23, -47)
(39, 1)
(8, -35)
(33, 31)
(13, -39)
(9, -12)
(44, -15)
(-25, 50)
(47, 17)
(-14, -51)
(-13, -19)
(24, 6)
(41, 10)
(52, -18)
(14, -11)

CNF with 28 variables and 77 clauses:
(8, 55)
(-15, 50)
(-3, -31)
(-45, -37)
(7, -54)
(6, -44)
(-1, -48)
(-45, -19)
(-56, 45)
(-15, 34)
(-29, 17)
(9, -54)
(19, 11)
(12, 27)
(-19, 39)
(-19, -7)
(-22, -24)
(51, -7)
(-11, -28)
(-40, 55)
(-50, -10)
(17, -27)
(56, -11)
(3, -54)
(-8, 53)
(-52, 28)
(3, 28)
(-42, -11)
(51, 6)
(12, 24)
(12, -22)
(4, 29)
(21, -10)
(-53, 4)
(-50, -52)
(-9, -42)
(-4, 9)
(2, -33)
(-41, 14)
(13, 46)
(26, 43)
(42, 24)
(-23, 52)
(19, -40)
(-42, -41)
(26, -35)
(-31, -21)
(-50, 30)
(39, 52)
(-47, 49)
(-30, 28)
(30, 12)
(47, 28)
(20, 41)
(7, 56)
(-41, 34)
(-37, 53)
(-23, -40)
(17, 42)
(-23, -31)
(-11, -1)
(14, -3)
(-42, 47)
(-35, 25)
(45, 24)
(48, 50)
(5, 33)
(-19, 51)
(-39, 48)
(-18, 25)
(-10, -47)
(-33, 52)
(53, -34)
(-50, -53)
(-28, 41)
(-48, -47)
(-2, 5)

CNF with 28 variables and 81 clauses:
(-35, -53)
(-16, 42)
(18, 44)
(38, 44)
(-41, 31)
(50, -37)
(24, -56)
(-11, -14)
(-25, -31)
(-2, 7)
(-38, 5)
(-44, 19)
(18, 37)
(38, -55)
(-39, 27)
(-16, -36)
(-6, -4)
(-44, -43)
(5, -50)
(32, 25)
(-27, -18)
(44, 42)
(48, -31)
(-2, -32)
(-28, -33)
(-42, -50)
(7, -1)
(-2, -5)
(54, 3)
(38, -39)
(-38, 2)
(-14, 51)
(45, 18)
(2, 47)
(26, -23)
(-33, -54)
(34, -25)
(25, 15)
(-53, 31)
(-27, 50)
(-25, -20)
(54, -41)
(29, 24)
(-8, 2)
(-27, -39)
(-55, 18)
(48, 21)
(27, 53)
(-8, -32)
(38, -35)
(1, -42)
(48, -4)
(11, 38)
(18, -39)
(55, 10)
(14, 18)
(27, 12)
(33, -48)
(17, -35)
(40, 3)
(-34, -47)
(-5, -2)
(-36, 56)
(19, 10)
(20, 48)
(-10, -33)
(-32, -6)
(9, -35)
(43, 42)
(31, 34)
(-42, 4)
(-37, 55)
(-24, -3)
(-20, 31)
(-30, -41)
(48, -21)
(-17, 42)
(56, 35)
(38, 5)
(6, -55)
(-23, -27)

CNF with 28 variables and 76 clauses:
(6, 12)
(-37, -44)
(-7, 30)
(-33, 39)
(-45, -12)
(-1, -38)
(10, -12)
(44, 48)
(-19, 10)
(-48, -23)
(-9, 54)
(-8, -2)
(1, 55)
(-39, -42)
(-12, 37)
(16, 53)
(11, 5)
(-35, -14)
(40, 50)
(11, 14)
(16, -48)
(-40, 17)
(12, 55)
(17, -10)
(32, 33)
(-26, -42)
(55, -51)
(28, -7)
(54, -49)
(55, 13)
(-52, -3)
(23, -43)
(40, -27)
(-3, 51)
(29, 31)
(22, 28)
(-55, 24)
(42, -48)
(-24, -15)
(45, -28)
(36, 33)
(27, 30)
(-28, -31)
(28, 35)
(36, -13)
(23, 54)
(-32, 17)
(40, 3)
(29, 9)
(-38, 47)
(4, -14)
(-39, -13)
(-5, -1)
(46, 34)
(16, -22)
(35, 43)
(-9, 49)
(-50, 39)
(-52, 17)
(-45, -2)
(40, 36)
(14, 23)
(-41, 20)
(-11, -31)
(-25, -48)
(2, 55)
(53, -13)
(-39, -29)
(-35, -13)
(10, -39)
(-25, -33)
(-22, 18)
(35, 21)
(23, 53)
(-12, 7)
(44, 33)

CNF with 28 variables and 30 clauses:
(-4, -44)
(7, -44)
(40, 20)
(-23, -18)
(-47, -6)
(-41, -33)
(49, 56)
(-43, -12)
(4, 39)
(-40, -35)
(-47, 42)
(-31, -8)
(42, 16)
(-18, 1)
(56, 45)
(-52, 39)
(-5, 38)
(44, 31)
(-48, 9)
(6, -55)
(-48, -31)
(-26, -34)
(-10, -38)
(-22, 12)
(-50, 54)
(20, 45)
(-56, -39)
(-56, -33)
(-13, 2)
(-48, 14)

CNF with 28 variables and 63 clauses:
(-55, 36)
(-11, 2)
(-5, 49)
(30, 52)
(-36, 55)
(6, -31)
(-12, 28)
(-5, 3)
(28, 6)
(-44, -35)
(-1, -26)
(-54, 31)
(-52, 28)
(-25, 9)
(14, 28)
(-43, 40)
(53, -11)
(-5, -31)
(-51, -56)
(52, 30)
(31, -5)
(48, -50)
(51, -27)
(32, -31)
(56, 55)
(43, 39)
(19, 51)
(11, -17)
(22, -54)
(-9, -23)
(-18, 32)
(-7, -17)
(16, -12)
(32, 5)
(-33, 4)
(-25, 17)
(-6, -40)
(34, -25)
(-10, -19)
(-41, 42)
(-52, 39)
(-51, 4)
(40, -55)
(12, 54)
(-7, 16)
(19, 44)
(-38, -5)
(-33, 37)
(46, 37)
(-49, 28)
(6, 22)
(-54, 17)
(6, -24)
(55, -40)
(35, 46)
(-48, 39)
(8, 7)
(16, -13)
(-3, 16)
(30, -39)
(12, -23)
(27, -29)
(7, 11)

CNF with 28 variables and 39 clauses:
(3, -5)
(-13, 8)
(-40, 33)
(24, -10)
(-7, 39)
